,0,1,2,3,4,5,6,7
0,0.9966,0.003,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9946,0.0059,0.0,0.0,0.0,0.0,0.0,0.0
2,0.991,0.0089,0.0,0.0,0.0,0.0,0.0,0.0
3,0.988,0.0119,0.0001,0.0,0.0,0.0,0.0,0.0
4,0.985,0.0149,0.0001,0.0,0.0,0.0,0.0,0.0
5,0.9814,0.0179,0.0002,0.0,0.0,0.0,0.0,0.0
6,0.979,0.0209,0.0002,0.0,0.0,0.0,0.0,0.0
7,0.976,0.0239,0.0003,0.0,0.0,0.0,0.0,0.0
8,0.9727,0.0269,0.0003,0.0,0.0,0.0,0.0,0.0
9,0.9697,0.0298,0.0004,0.0,0.0,0.0,0.0,0.0
10,0.9663,0.0326,0.0005,0.0,0.0,0.0,0.0,0.0
11,0.964,0.0354,0.0006,0.0,0.0,0.0,0.0,0.0
12,0.961,0.0383,0.0007,0.0,0.0,0.0,0.0,0.0
13,0.9585,0.0412,0.0008,0.0,0.0,0.0,0.0,0.0
14,0.955,0.044,0.001,0.0,0.0,0.0,0.0,0.0
15,0.952,0.0469,0.0011,0.0,0.0,0.0,0.0,0.0
16,0.9487,0.0498,0.0013,0.0,0.0,0.0,0.0,0.0
17,0.946,0.0526,0.0014,0.0,0.0,0.0,0.0,0.0
18,0.9434,0.0554,0.0016,0.0,0.0,0.0,0.0,0.0
19,0.94,0.0582,0.0017,0.0,0.0,0.0,0.0,0.0
20,0.937,0.061,0.0019,0.0,0.0,0.0,0.0,0.0
21,0.9346,0.0638,0.0021,0.0001,0.0,0.0,0.0,0.0
22,0.931,0.0666,0.0022,0.0001,0.0,0.0,0.0,0.0
23,0.928,0.0694,0.0024,0.0001,0.0,0.0,0.0,0.0
24,0.926,0.0721,0.0026,0.0001,0.0,0.0,0.0,0.0
25,0.9224,0.0749,0.0028,0.0001,0.0,0.0,0.0,0.0
26,0.9194,0.0776,0.0031,0.0001,0.0,0.0,0.0,0.0
27,0.916,0.0804,0.0033,0.0001,0.0,0.0,0.0,0.0
28,0.9126,0.083,0.0035,0.0001,0.0,0.0,0.0,0.0
29,0.91,0.0858,0.0038,0.0001,0.0,0.0,0.0,0.0
30,0.907,0.0884,0.004,0.0001,0.0,0.0,0.0,0.0
31,0.904,0.0912,0.0043,0.0001,0.0,0.0,0.0,0.0
32,0.9014,0.0938,0.0045,0.0001,0.0,0.0,0.0,0.0
